map_cols=50
map_rows=50
tile_width=32
tile_height=32
tile_path=map\tiles.png
tile_grid_id=1
barrier_layer_name=obstacle
back_layer_name=background
<layer name=background>
134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,
160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,
186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,
134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,
160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,
186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,
134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,
160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,
186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,
134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,
160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,
186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,
134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,
160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,
186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,
134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,
160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,
186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,
134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,
160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,
186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,
134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,
160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,
186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,
134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,136,134,135,
160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,162,160,161,
186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,188,186,187,
